file,type,status,host,date,tag,description
midi2arch.xsh,RUN,active,karjala,2024-06,,"Transform a midi controller to a keyboard/script launcher"
fzf_albumlauncher.xsh,CLI,active,all,2024-06,,"Choose an album with fzf and play it with cmus"
playlist_player.xsh,RUN,active,all,2024-06,,"Pick a playlist and play it"
songlauncher.sh,RUN,active,all,2024-06,,"Play a song with cmus using dmenu"
fzfmenu.sh,OTH,active,all,2024-06,,"Similar to dmenu but with fzf and st (this is only hte helper function"
quickcommand.sh,RUN,active,all,2024-06,,"Run any command with dmenu"
random_album.xsh,RUN,active,all,2024-06,,"Select random album and play it with cmus"
fzf_songlauncher.sh,CLI,active,all,2024-06,,"Play a song with cmus (chose it with fzf)"
ardour-open.sh,RUN,active,all,2024-06,,"Open an ardour session"
whatkey.py,CLI,in_progress,all,2024-06,,"detect most probable scale"
citeboard.sh,RUN,active,all,2024-06,,"Find a paper and either open the paper or copy the paper citation"
next_album.xsh,RUN,active,all,2024-06,,"Skip to next album in cmus"
update_env.xsh,OTH,active,all,2024-06,api,"Update env file for storing api keys"
sandisk_music_transfert.py,RUN,active,karjala,2024-06,,"Transfer music to Sandisk media player"
albumplayer.xsh,RUN,active,all,2024-06,,"Play an album using cmus"
obsidian.xsh,RUN,active,all,2024-06,,"Open any obsidian vault"
mechen_music_transfert.py,RUN,active,karjala,2024-06,,"Custom script to copy music to Mechen"
fzfmenu_run.sh,RUN,active,all,2024-06,,"Dmenu run replacement with fzf and a floating st terminal"
jupyter_new_notebook.xsh,RUN,active,all,2024-06,,"Create jupyter notebook and open it in chromium"
editor.sh,CLI,active,all,2024-06,,"Edit any file in current folder or subfolders (recursively)"
ollama_list.py,CLI,active,all,2024-06,,"Custom help for ollama"
create_cover_art.sh,RUN,active,all,2024-06,,"Create a covert art based on file spectrogram"
vimwiki.sh,CLI,active,all,2024-06,,"Open a note in vim with fzf"
dmenu_run_scripts.xsh,RUN,active,all,2024-06,,"Run user scripts with dmenu"
urxvt-font-switch.xsh,RUN,active,all,2024-06,,"Switch Xressources file with alternative one"
tmux-help.py,CLI,in_progress,all,2024-06,,"Show useful help for tmux"
vox.py,CLI,active,all,2024-06,,"List Vox amp options"
volca.py,RUN,active,all,2024-06,,"Script to transfer samples to Korg volca sample 2"
playlist_randomizer.xsh,RUN,active,all,2024-06,,"Pick a playlist of albums and play in random order in cmus"
pdfopener.sh,RUN,active,all,2024-06,,"Pick any pdf in home folder and open it with evince"
random_wallpapers.xsh,RUN,active,all,2024-06,,"Pick random wallpaper from wallpaper list"
list_process.sh,CLI,active,all,2024-06,,"list running services"
